Degree_Level,Country_Aiming,Exam_Type,IELTS,TOEFL,PTE,DET,GRE,CGPA,SOP,LOR,Research,Work_Experience_Years,Program_Competitiveness,Chance_of_Admit
Masters,New Zealand,GRE,0.0,0,0,0,321,7.5,4.8,3.9,0,4,3,0.61
Masters,France,TOEFL,0.0,90,0,0,0,6.62,1.6,1.2,1,3,2,0.59
Undergraduate,Germany,TOEFL,0.0,105,0,0,0,8.4,3.8,1.1,0,2,3,0.58
Masters,Sweden,DET,0.0,0,0,152,0,9.33,1.8,1.7,1,0,5,0.63
Undergraduate,Switzerland,IELTS,6.9,0,0,0,0,8.1,2.7,2.2,1,0,2,0.64
PhD,France,IELTS,6.4,0,0,0,0,7.17,2.5,2.8,1,1,5,0.67
Undergraduate,Switzerland,IELTS,6.6,0,0,0,0,8.06,3.4,1.2,0,0,3,0.5
Masters,Netherlands,TOEFL,0.0,88,0,0,0,6.68,1.3,4.8,1,1,5,0.68
PhD,Switzerland,TOEFL,0.0,90,0,0,0,9.23,2.2,1.4,1,0,1,0.65
Undergraduate,New Zealand,TOEFL,0.0,91,0,0,0,7.76,1.5,3.0,0,4,1,0.43
Masters,Sweden,GRE,0.0,0,0,0,337,9.64,2.0,3.7,1,3,4,0.72
Masters,Singapore,GRE,0.0,0,0,0,308,8.08,3.2,1.7,0,8,1,0.6
Masters,Australia,IELTS,8.3,0,0,0,0,9.76,4.6,3.4,1,7,2,0.88
Masters,New Zealand,PTE,0.0,0,81,0,0,6.35,1.8,1.2,0,2,3,0.38
PhD,Singapore,PTE,0.0,0,56,0,0,7.55,2.1,4.3,0,3,3,0.51
Undergraduate,Netherlands,PTE,0.0,0,71,0,0,7.12,3.2,1.6,1,5,3,0.69
PhD,Sweden,IELTS,6.2,0,0,0,0,9.95,4.1,1.8,1,2,4,0.72
Undergraduate,Ireland,PTE,0.0,0,67,0,0,9.26,3.8,3.9,1,7,5,0.86
Undergraduate,New Zealand,PTE,0.0,0,51,0,0,6.3,2.4,1.5,1,9,2,0.67
Masters,Canada,GRE,0.0,0,0,0,290,8.49,2.3,1.3,0,5,5,0.52
Masters,Australia,GRE,0.0,0,0,0,319,7.3,3.9,3.6,1,8,1,0.77
Masters,Australia,PTE,0.0,0,70,0,0,7.89,1.5,3.9,1,4,1,0.68
PhD,Ireland,DET,0.0,0,0,141,0,8.25,4.1,3.0,0,10,5,0.67
Undergraduate,UK,DET,0.0,0,0,140,0,7.71,1.1,1.4,0,10,3,0.46
Undergraduate,Ireland,IELTS,7.9,0,0,0,0,7.26,3.0,4.6,1,9,2,0.72
Undergraduate,UK,GRE,0.0,0,0,0,316,7.64,4.0,1.9,1,9,1,0.68
Undergraduate,New Zealand,IELTS,6.9,0,0,0,0,6.64,4.7,4.2,1,7,2,0.76
Undergraduate,Netherlands,TOEFL,0.0,115,0,0,0,9.49,4.2,1.7,1,7,4,0.84
PhD,Ireland,GRE,0.0,0,0,0,337,8.16,4.2,4.6,1,1,1,0.71
PhD,Sweden,GRE,0.0,0,0,0,291,6.44,1.9,2.7,0,7,2,0.51
Masters,New Zealand,IELTS,8.6,0,0,0,0,6.03,3.0,2.7,0,0,4,0.42
Undergraduate,USA,DET,0.0,0,0,127,0,6.48,2.4,4.8,0,6,1,0.5
Undergraduate,Ireland,IELTS,7.6,0,0,0,0,8.81,2.5,4.9,0,1,3,0.62
Undergraduate,Germany,PTE,0.0,0,51,0,0,7.01,3.0,2.2,1,9,1,0.66
Masters,USA,DET,0.0,0,0,92,0,6.15,3.4,3.0,0,8,1,0.47
Undergraduate,Switzerland,TOEFL,0.0,93,0,0,0,7.11,4.6,2.0,0,3,5,0.52
PhD,Singapore,DET,0.0,0,0,103,0,7.96,4.9,2.0,1,7,3,0.78
Undergraduate,Sweden,DET,0.0,0,0,129,0,9.05,2.0,3.9,0,3,4,0.56
PhD,Australia,GRE,0.0,0,0,0,316,8.53,3.5,3.1,0,6,4,0.57
PhD,Singapore,GRE,0.0,0,0,0,292,9.34,2.3,1.7,1,3,2,0.63
PhD,Singapore,DET,0.0,0,0,131,0,8.36,3.7,1.1,0,0,3,0.51
PhD,USA,GRE,0.0,0,0,0,333,6.91,3.6,1.7,0,9,2,0.56
Undergraduate,France,PTE,0.0,0,59,0,0,7.55,4.7,1.6,1,7,5,0.74
PhD,Australia,PTE,0.0,0,65,0,0,6.45,4.7,4.5,1,6,5,0.74
Masters,Ireland,IELTS,8.0,0,0,0,0,9.27,3.2,3.1,1,1,5,0.72
PhD,Singapore,IELTS,6.3,0,0,0,0,9.59,4.6,3.5,1,8,5,0.86
PhD,Netherlands,DET,0.0,0,0,116,0,7.4,3.9,4.6,0,10,1,0.67
Masters,Switzerland,DET,0.0,0,0,127,0,9.12,3.6,1.3,1,9,3,0.74
Undergraduate,Germany,TOEFL,0.0,95,0,0,0,9.59,3.4,1.0,1,6,4,0.72
PhD,Australia,GRE,0.0,0,0,0,338,8.65,1.0,1.6,0,8,1,0.51
Undergraduate,Ireland,GRE,0.0,0,0,0,300,8.77,3.6,1.9,0,1,2,0.55
Masters,Germany,GRE,0.0,0,0,0,310,6.95,2.3,4.0,1,4,5,0.7
PhD,France,GRE,0.0,0,0,0,322,9.4,3.6,3.3,0,7,2,0.6
PhD,UK,GRE,0.0,0,0,0,297,7.47,2.1,2.0,1,0,2,0.63
Undergraduate,France,GRE,0.0,0,0,0,302,7.57,4.6,3.5,0,1,1,0.57
Masters,Ireland,IELTS,7.5,0,0,0,0,8.31,3.0,1.8,1,9,1,0.74
PhD,USA,TOEFL,0.0,90,0,0,0,7.12,1.1,3.6,0,9,2,0.48
Undergraduate,Switzerland,TOEFL,0.0,120,0,0,0,9.76,4.8,4.7,1,4,1,0.82
Undergraduate,Switzerland,DET,0.0,0,0,112,0,6.06,4.7,2.7,0,1,2,0.53
Masters,Ireland,TOEFL,0.0,81,0,0,0,9.85,4.4,2.2,0,4,5,0.65
PhD,Sweden,IELTS,8.6,0,0,0,0,7.27,1.7,3.2,1,2,4,0.67
Masters,France,DET,0.0,0,0,102,0,8.78,3.3,1.4,1,1,5,0.71
PhD,UK,IELTS,9.0,0,0,0,0,6.56,3.1,4.5,1,1,1,0.66
Masters,Australia,IELTS,8.1,0,0,0,0,8.81,2.4,2.2,1,1,2,0.69
Undergraduate,UK,TOEFL,0.0,119,0,0,0,9.24,4.5,4.7,1,0,3,0.78
Masters,Netherlands,PTE,0.0,0,72,0,0,8.01,4.2,3.6,1,10,4,0.84
Masters,Australia,GRE,0.0,0,0,0,291,9.18,4.6,2.4,1,8,3,0.8
Masters,Australia,DET,0.0,0,0,153,0,6.38,3.3,1.1,0,9,5,0.53
Undergraduate,Switzerland,GRE,0.0,0,0,0,311,8.17,2.1,3.4,0,8,5,0.55
Masters,UK,DET,0.0,0,0,124,0,6.15,4.3,2.4,0,6,1,0.47
Masters,Ireland,PTE,0.0,0,53,0,0,8.09,4.1,1.9,0,2,1,0.54
Undergraduate,France,IELTS,6.3,0,0,0,0,6.21,3.1,3.2,1,2,3,0.64
PhD,USA,TOEFL,0.0,105,0,0,0,8.9,4.9,3.1,0,6,3,0.64
Undergraduate,France,IELTS,8.4,0,0,0,0,7.08,2.8,1.3,1,1,5,0.57
PhD,Ireland,GRE,0.0,0,0,0,318,9.85,4.3,3.8,0,3,2,0.64
Masters,UK,DET,0.0,0,0,113,0,6.69,1.6,2.0,0,9,5,0.52
Undergraduate,USA,DET,0.0,0,0,160,0,8.86,3.6,2.1,1,1,3,0.75
Undergraduate,Canada,GRE,0.0,0,0,0,317,8.95,3.2,3.4,1,2,1,0.7
Masters,Switzerland,DET,0.0,0,0,104,0,6.99,2.4,4.0,1,7,5,0.67
Undergraduate,Switzerland,GRE,0.0,0,0,0,318,6.46,1.2,1.2,1,3,5,0.6
PhD,Canada,DET,0.0,0,0,117,0,8.81,2.9,1.4,1,9,1,0.72
Undergraduate,UK,GRE,0.0,0,0,0,340,7.89,1.7,2.7,0,6,3,0.51
Undergraduate,France,GRE,0.0,0,0,0,331,8.46,3.5,1.2,1,6,4,0.71
Undergraduate,Singapore,DET,0.0,0,0,112,0,8.5,3.0,4.4,1,10,4,0.83
PhD,Canada,PTE,0.0,0,55,0,0,6.65,1.3,3.6,1,8,1,0.59
Masters,France,GRE,0.0,0,0,0,320,8.34,4.8,3.3,0,1,5,0.6
PhD,Ireland,IELTS,7.9,0,0,0,0,7.83,3.2,4.8,1,3,4,0.72
PhD,Canada,GRE,0.0,0,0,0,291,9.84,4.6,1.8,1,8,4,0.8
PhD,Germany,PTE,0.0,0,83,0,0,6.4,1.1,1.4,0,9,1,0.45
Undergraduate,Netherlands,PTE,0.0,0,65,0,0,6.28,2.3,4.4,0,8,2,0.48
Undergraduate,New Zealand,DET,0.0,0,0,92,0,9.26,2.1,1.5,1,4,5,0.73
PhD,Switzerland,TOEFL,0.0,117,0,0,0,8.52,4.5,3.9,1,4,2,0.8
PhD,Canada,PTE,0.0,0,55,0,0,7.13,1.7,4.0,1,7,4,0.72
Masters,France,DET,0.0,0,0,98,0,9.96,2.7,2.5,0,0,2,0.58
Undergraduate,Australia,GRE,0.0,0,0,0,336,7.36,4.7,4.4,1,0,4,0.72
PhD,Singapore,PTE,0.0,0,73,0,0,9.0,4.0,1.4,0,4,4,0.63
PhD,Netherlands,PTE,0.0,0,64,0,0,8.02,4.3,2.3,1,9,3,0.82
Masters,Netherlands,GRE,0.0,0,0,0,336,7.56,1.0,4.6,0,10,4,0.54
Masters,UK,DET,0.0,0,0,129,0,7.28,4.8,4.8,1,7,1,0.78
Undergraduate,New Zealand,TOEFL,0.0,94,0,0,0,8.53,2.8,2.2,1,2,3,0.66
PhD,Germany,IELTS,8.0,0,0,0,0,9.01,4.2,4.2,0,9,3,0.65
PhD,Germany,GRE,0.0,0,0,0,332,7.98,1.2,3.2,0,10,1,0.53
Masters,Germany,TOEFL,0.0,107,0,0,0,9.55,2.4,1.5,1,4,2,0.66
Masters,Ireland,IELTS,8.3,0,0,0,0,8.47,1.4,1.3,1,0,4,0.62
Undergraduate,New Zealand,DET,0.0,0,0,153,0,6.29,4.3,3.8,1,2,3,0.63
Undergraduate,Canada,TOEFL,0.0,116,0,0,0,6.34,4.9,2.5,1,6,2,0.69
Masters,USA,PTE,0.0,0,79,0,0,9.25,4.8,4.9,1,7,5,0.91
PhD,New Zealand,TOEFL,0.0,89,0,0,0,7.51,1.3,4.1,0,6,4,0.54
Undergraduate,Australia,GRE,0.0,0,0,0,327,7.7,4.6,1.4,0,1,2,0.51
Undergraduate,Sweden,PTE,0.0,0,82,0,0,6.05,2.9,1.2,1,6,4,0.58
Undergraduate,Ireland,PTE,0.0,0,52,0,0,6.47,3.6,4.0,1,10,4,0.76
Undergraduate,Australia,TOEFL,0.0,116,0,0,0,9.85,2.5,2.1,1,4,5,0.79
Undergraduate,Sweden,IELTS,6.7,0,0,0,0,9.85,1.0,4.9,0,2,5,0.55
Undergraduate,Australia,GRE,0.0,0,0,0,293,9.56,3.1,5.0,1,6,1,0.75
Masters,Singapore,GRE,0.0,0,0,0,299,8.22,4.9,3.1,1,3,2,0.76
Masters,Canada,DET,0.0,0,0,136,0,8.78,2.8,3.5,1,0,1,0.68
Masters,Canada,PTE,0.0,0,71,0,0,9.6,1.2,2.1,1,3,3,0.72
Masters,Germany,GRE,0.0,0,0,0,321,9.56,2.8,3.5,1,1,1,0.69
Masters,France,DET,0.0,0,0,129,0,6.75,2.9,2.4,0,4,5,0.52
PhD,Netherlands,PTE,0.0,0,73,0,0,6.31,4.9,4.9,1,5,4,0.78
Masters,UK,GRE,0.0,0,0,0,330,8.14,2.2,4.3,0,6,4,0.61
Undergraduate,New Zealand,GRE,0.0,0,0,0,306,6.65,4.6,4.3,1,5,5,0.8
Undergraduate,UK,PTE,0.0,0,78,0,0,8.9,3.5,2.7,0,1,3,0.6
Masters,France,DET,0.0,0,0,139,0,9.46,1.2,1.1,1,2,4,0.64
Masters,Ireland,GRE,0.0,0,0,0,304,9.24,4.9,1.6,1,10,3,0.84
PhD,Netherlands,PTE,0.0,0,55,0,0,7.52,4.9,4.4,0,8,3,0.69
Undergraduate,Germany,PTE,0.0,0,50,0,0,7.87,2.7,2.1,1,3,4,0.62
PhD,Ireland,DET,0.0,0,0,145,0,9.46,4.3,5.0,0,2,4,0.72
PhD,UK,PTE,0.0,0,58,0,0,8.22,4.1,4.8,1,5,4,0.83
Masters,Germany,PTE,0.0,0,60,0,0,6.99,2.8,1.5,0,7,2,0.54
Undergraduate,Singapore,IELTS,7.8,0,0,0,0,6.91,3.7,3.5,1,9,2,0.72
Masters,USA,DET,0.0,0,0,138,0,6.45,3.7,3.1,0,1,5,0.54
Undergraduate,Germany,PTE,0.0,0,50,0,0,8.08,4.4,3.2,0,4,5,0.62
Undergraduate,Sweden,PTE,0.0,0,66,0,0,9.51,2.6,1.5,0,3,5,0.52
Undergraduate,Australia,GRE,0.0,0,0,0,297,9.02,3.5,3.8,0,6,1,0.59
Undergraduate,Singapore,TOEFL,0.0,100,0,0,0,6.55,1.1,2.4,0,6,2,0.45
PhD,Singapore,IELTS,7.2,0,0,0,0,7.75,4.6,2.4,0,4,2,0.57
Undergraduate,France,IELTS,8.4,0,0,0,0,7.59,3.5,4.4,1,0,5,0.75
PhD,UK,TOEFL,0.0,115,0,0,0,6.59,4.7,3.0,0,2,5,0.53
PhD,UK,IELTS,7.4,0,0,0,0,9.92,3.0,2.3,1,9,2,0.81
Undergraduate,USA,TOEFL,0.0,98,0,0,0,6.96,1.3,1.5,0,8,2,0.43
Masters,Canada,DET,0.0,0,0,116,0,6.61,1.6,3.6,1,2,4,0.58
Undergraduate,UK,PTE,0.0,0,87,0,0,7.38,4.6,2.9,1,4,4,0.75
PhD,New Zealand,TOEFL,0.0,114,0,0,0,6.69,1.8,1.2,1,9,2,0.59
PhD,France,DET,0.0,0,0,108,0,7.11,1.7,1.4,1,1,1,0.51
Undergraduate,Netherlands,IELTS,7.4,0,0,0,0,6.83,2.5,3.0,1,7,1,0.67
Masters,Switzerland,PTE,0.0,0,61,0,0,6.16,4.2,3.5,0,0,3,0.45
Undergraduate,Ireland,DET,0.0,0,0,136,0,9.49,4.7,1.2,0,7,2,0.61
Masters,Germany,DET,0.0,0,0,131,0,9.22,4.0,1.7,0,6,2,0.58
Masters,Ireland,DET,0.0,0,0,104,0,7.48,2.9,3.5,1,6,3,0.7
Undergraduate,Canada,IELTS,7.4,0,0,0,0,8.99,1.1,2.0,0,1,4,0.51
Undergraduate,Singapore,DET,0.0,0,0,141,0,9.58,3.0,3.1,1,8,4,0.77
Masters,Ireland,IELTS,7.3,0,0,0,0,8.13,2.0,2.1,1,2,1,0.6
Masters,UK,IELTS,6.1,0,0,0,0,7.29,1.8,2.3,1,8,5,0.65
Masters,Switzerland,IELTS,8.7,0,0,0,0,8.37,3.7,4.2,0,0,4,0.58
Masters,New Zealand,PTE,0.0,0,71,0,0,6.35,3.1,3.3,1,1,1,0.63
Undergraduate,Ireland,DET,0.0,0,0,100,0,7.73,1.5,2.1,1,5,1,0.6
Masters,New Zealand,GRE,0.0,0,0,0,337,8.58,3.3,2.4,1,2,3,0.75
PhD,Australia,DET,0.0,0,0,118,0,8.42,1.9,1.4,0,5,2,0.46
Masters,Australia,TOEFL,0.0,81,0,0,0,6.98,1.6,1.7,1,8,2,0.6
Undergraduate,Singapore,DET,0.0,0,0,144,0,6.69,4.6,1.3,0,0,4,0.49
PhD,France,PTE,0.0,0,81,0,0,7.64,4.9,1.4,1,4,4,0.71
Undergraduate,Sweden,GRE,0.0,0,0,0,297,9.88,4.5,4.3,1,1,4,0.79
Undergraduate,Switzerland,GRE,0.0,0,0,0,334,6.68,3.7,4.7,1,0,1,0.65
Masters,Sweden,IELTS,7.7,0,0,0,0,7.12,4.1,1.7,1,1,5,0.65
PhD,Ireland,PTE,0.0,0,62,0,0,7.7,3.0,2.0,1,4,2,0.62
Masters,Australia,TOEFL,0.0,90,0,0,0,8.44,2.2,3.3,0,4,5,0.53
PhD,France,DET,0.0,0,0,124,0,7.92,3.1,1.2,1,1,4,0.63
PhD,Switzerland,IELTS,6.4,0,0,0,0,6.25,5.0,2.3,0,9,3,0.62
PhD,Canada,GRE,0.0,0,0,0,327,7.02,3.7,4.0,0,2,5,0.57
Undergraduate,Germany,TOEFL,0.0,108,0,0,0,7.89,2.6,2.4,1,10,5,0.8
Undergraduate,Australia,IELTS,8.5,0,0,0,0,9.86,1.5,3.9,1,3,2,0.76
PhD,Netherlands,GRE,0.0,0,0,0,303,6.72,1.3,4.0,1,3,2,0.61
Masters,Singapore,PTE,0.0,0,52,0,0,9.37,1.6,4.2,0,3,3,0.54
Undergraduate,Germany,IELTS,6.5,0,0,0,0,6.66,4.3,3.7,1,9,1,0.74
Undergraduate,Australia,GRE,0.0,0,0,0,316,7.44,4.5,2.6,1,4,2,0.74
PhD,Australia,TOEFL,0.0,116,0,0,0,7.76,2.5,2.9,1,1,1,0.6
Undergraduate,Australia,TOEFL,0.0,91,0,0,0,8.99,3.0,1.9,0,8,1,0.62
Undergraduate,Australia,PTE,0.0,0,73,0,0,7.54,3.2,4.6,0,5,1,0.57
PhD,UK,TOEFL,0.0,86,0,0,0,6.47,4.8,3.5,1,9,3,0.74
Masters,Netherlands,IELTS,6.4,0,0,0,0,9.18,3.5,3.1,0,7,2,0.67
Masters,USA,GRE,0.0,0,0,0,312,9.15,1.6,2.2,0,0,3,0.47
Masters,Germany,IELTS,8.2,0,0,0,0,6.13,3.3,4.0,1,6,2,0.71
Undergraduate,USA,GRE,0.0,0,0,0,314,7.37,4.3,1.4,0,6,5,0.61
PhD,Sweden,TOEFL,0.0,95,0,0,0,6.51,2.6,4.2,1,10,4,0.69
Masters,Singapore,TOEFL,0.0,120,0,0,0,6.92,3.9,3.9,1,6,1,0.72
Masters,Australia,PTE,0.0,0,85,0,0,8.78,3.2,2.0,0,9,4,0.61
Undergraduate,New Zealand,PTE,0.0,0,79,0,0,6.73,4.6,3.3,1,5,3,0.71
Masters,France,IELTS,7.4,0,0,0,0,9.79,1.6,3.3,1,6,3,0.75
Undergraduate,Australia,GRE,0.0,0,0,0,340,8.45,1.1,4.5,1,7,2,0.75
Undergraduate,UK,IELTS,7.7,0,0,0,0,8.79,4.7,3.8,1,9,3,0.81
PhD,Switzerland,TOEFL,0.0,84,0,0,0,8.31,3.4,2.7,0,6,4,0.62
Masters,UK,PTE,0.0,0,59,0,0,9.74,4.7,2.8,1,7,4,0.81
Masters,Ireland,IELTS,9.0,0,0,0,0,9.36,1.5,4.7,0,4,4,0.63
PhD,New Zealand,PTE,0.0,0,53,0,0,8.08,3.4,2.6,0,5,4,0.53
PhD,Germany,TOEFL,0.0,94,0,0,0,7.34,4.2,1.0,0,3,4,0.51
Undergraduate,New Zealand,IELTS,7.2,0,0,0,0,8.15,4.7,2.4,0,3,1,0.55
Masters,USA,TOEFL,0.0,95,0,0,0,8.95,2.8,1.9,0,6,4,0.58
PhD,Australia,DET,0.0,0,0,133,0,6.56,1.7,3.0,1,5,2,0.6
Undergraduate,Ireland,TOEFL,0.0,105,0,0,0,9.66,2.4,3.3,1,3,3,0.75
Undergraduate,UK,PTE,0.0,0,55,0,0,6.05,3.7,1.7,0,0,4,0.49
PhD,Canada,PTE,0.0,0,81,0,0,6.59,2.7,1.3,0,3,1,0.48
Undergraduate,Sweden,TOEFL,0.0,105,0,0,0,8.01,3.4,1.3,0,7,5,0.6
Masters,Singapore,DET,0.0,0,0,149,0,6.84,4.6,1.8,1,4,5,0.67
Undergraduate,Sweden,TOEFL,0.0,86,0,0,0,6.15,2.9,3.3,1,7,2,0.61
PhD,UK,IELTS,8.3,0,0,0,0,7.81,3.1,2.8,0,6,4,0.56
PhD,USA,PTE,0.0,0,54,0,0,8.24,1.6,1.7,0,0,1,0.47
Undergraduate,Ireland,PTE,0.0,0,58,0,0,9.78,2.5,2.1,1,10,2,0.79
Undergraduate,Ireland,TOEFL,0.0,110,0,0,0,7.63,1.1,1.6,1,3,1,0.59
PhD,Netherlands,DET,0.0,0,0,124,0,8.64,1.1,1.9,1,0,1,0.56
PhD,Ireland,IELTS,8.0,0,0,0,0,6.08,1.4,4.2,0,2,1,0.39
PhD,Australia,PTE,0.0,0,51,0,0,8.61,2.0,1.4,0,9,1,0.51
Undergraduate,Canada,GRE,0.0,0,0,0,328,8.89,4.4,4.3,0,1,1,0.59
Undergraduate,USA,GRE,0.0,0,0,0,305,8.67,1.8,2.2,0,9,5,0.63
PhD,Canada,IELTS,6.0,0,0,0,0,6.34,1.8,1.1,1,9,1,0.57
PhD,Canada,DET,0.0,0,0,137,0,8.33,2.7,4.6,0,2,5,0.62
Masters,Singapore,TOEFL,0.0,96,0,0,0,7.37,2.0,2.5,0,8,2,0.53
Masters,New Zealand,DET,0.0,0,0,136,0,7.07,3.5,2.6,0,6,1,0.53
Masters,Ireland,DET,0.0,0,0,121,0,7.74,2.2,4.8,0,6,3,0.6
PhD,Germany,TOEFL,0.0,101,0,0,0,6.56,4.5,2.9,1,7,4,0.77
PhD,New Zealand,DET,0.0,0,0,148,0,9.2,2.7,1.1,0,0,3,0.48
Masters,UK,PTE,0.0,0,90,0,0,8.17,3.5,2.0,0,9,5,0.58
Masters,USA,DET,0.0,0,0,157,0,9.34,4.9,3.1,1,9,1,0.8
PhD,USA,GRE,0.0,0,0,0,317,7.09,1.1,4.7,1,9,3,0.66
Masters,Germany,DET,0.0,0,0,146,0,8.31,2.1,3.2,0,8,4,0.6
PhD,UK,TOEFL,0.0,99,0,0,0,9.32,1.8,1.0,1,6,3,0.65
PhD,New Zealand,DET,0.0,0,0,112,0,9.6,4.5,3.4,0,10,4,0.74
PhD,Canada,DET,0.0,0,0,98,0,8.66,1.7,4.7,1,0,5,0.69
PhD,UK,GRE,0.0,0,0,0,307,7.53,3.1,1.2,1,2,3,0.6
Undergraduate,Ireland,PTE,0.0,0,72,0,0,8.95,1.3,3.4,1,1,1,0.61
Undergraduate,UK,GRE,0.0,0,0,0,290,7.56,2.2,2.4,1,1,5,0.66
PhD,New Zealand,TOEFL,0.0,85,0,0,0,7.19,3.3,2.9,0,5,3,0.56
PhD,Australia,GRE,0.0,0,0,0,294,9.75,3.9,1.9,0,2,1,0.53
Masters,Canada,IELTS,6.8,0,0,0,0,8.38,1.2,3.0,0,6,3,0.54
Undergraduate,France,TOEFL,0.0,118,0,0,0,7.34,4.1,1.4,1,1,3,0.61
Masters,Canada,IELTS,8.2,0,0,0,0,7.98,3.8,2.7,0,7,2,0.56
PhD,Singapore,PTE,0.0,0,70,0,0,9.28,4.2,3.8,1,10,2,0.82
PhD,USA,DET,0.0,0,0,159,0,8.36,2.4,1.4,1,7,1,0.71
Undergraduate,Netherlands,IELTS,6.4,0,0,0,0,9.8,2.8,1.7,1,2,5,0.74
PhD,Ireland,PTE,0.0,0,64,0,0,9.49,3.9,4.2,1,2,5,0.82
PhD,Switzerland,TOEFL,0.0,104,0,0,0,8.77,4.4,2.0,0,3,1,0.57
Masters,Singapore,GRE,0.0,0,0,0,300,6.88,5.0,4.8,0,1,2,0.52
Undergraduate,Netherlands,GRE,0.0,0,0,0,312,8.82,4.7,1.7,1,1,1,0.71
Masters,Switzerland,TOEFL,0.0,117,0,0,0,9.66,1.1,3.8,0,8,2,0.58
PhD,UK,GRE,0.0,0,0,0,307,9.7,4.9,4.8,1,2,1,0.81
Undergraduate,Singapore,PTE,0.0,0,74,0,0,9.45,4.4,2.3,1,4,4,0.82
PhD,New Zealand,PTE,0.0,0,81,0,0,6.15,3.4,1.9,0,6,2,0.45
Masters,France,PTE,0.0,0,71,0,0,6.31,3.8,2.4,0,1,2,0.49
