Degree_Level,Country_Aiming,Exam_Type,IELTS,TOEFL,PTE,DET,GRE,CGPA,SOP,LOR,Research,Work_Experience_Years,Program_Competitiveness,Chance_of_Admit
Masters,Australia,IELTS,6.2,0,0,0,0,7.26,3.2,4.2,0,0,2,0.49
Masters,Canada,GRE,0.0,0,0,0,308,8.5,4.5,3.5,0,9,5,0.67
Undergraduate,Netherlands,TOEFL,0.0,103,0,0,0,6.1,4.5,1.1,0,5,3,0.54
PhD,Germany,DET,0.0,0,0,140,0,8.12,4.8,4.2,0,8,2,0.71
PhD,UK,PTE,0.0,0,90,0,0,7.4,4.1,2.6,1,5,1,0.69
PhD,Germany,TOEFL,0.0,108,0,0,0,8.51,4.5,4.9,0,1,4,0.66
Undergraduate,Australia,IELTS,7.3,0,0,0,0,7.69,4.0,2.0,0,10,4,0.58
Masters,Switzerland,GRE,0.0,0,0,0,337,7.42,2.1,2.2,1,1,5,0.6
PhD,Ireland,GRE,0.0,0,0,0,339,6.17,1.1,5.0,1,1,3,0.58
Masters,USA,IELTS,7.2,0,0,0,0,8.72,1.9,4.8,1,0,5,0.74
Undergraduate,Switzerland,IELTS,6.3,0,0,0,0,7.67,4.5,4.8,1,2,5,0.77
Masters,New Zealand,IELTS,7.8,0,0,0,0,6.67,5.0,1.9,0,7,5,0.64
Masters,Singapore,GRE,0.0,0,0,0,321,8.6,3.4,3.1,1,7,2,0.73
PhD,New Zealand,PTE,0.0,0,61,0,0,6.71,1.9,1.7,0,8,1,0.49
Masters,Switzerland,IELTS,7.1,0,0,0,0,6.23,4.9,4.5,0,4,2,0.61
Undergraduate,Switzerland,DET,0.0,0,0,132,0,9.98,1.7,2.6,0,7,1,0.61
PhD,UK,DET,0.0,0,0,152,0,8.78,1.6,4.3,1,1,5,0.67
PhD,Germany,IELTS,6.7,0,0,0,0,8.15,3.4,3.3,1,10,4,0.75
Undergraduate,Sweden,IELTS,8.6,0,0,0,0,7.06,1.5,4.6,0,10,5,0.63
Masters,Switzerland,IELTS,8.6,0,0,0,0,9.24,3.6,3.2,1,7,4,0.76
Undergraduate,Netherlands,PTE,0.0,0,62,0,0,7.63,2.5,2.0,1,4,1,0.65
PhD,France,GRE,0.0,0,0,0,309,7.98,1.3,1.9,1,10,4,0.71
Undergraduate,USA,DET,0.0,0,0,90,0,6.3,4.4,3.0,1,2,3,0.66
Masters,USA,TOEFL,0.0,89,0,0,0,8.37,4.3,2.4,0,2,1,0.57
PhD,Sweden,PTE,0.0,0,85,0,0,8.26,2.1,4.5,1,2,5,0.74
Undergraduate,Canada,TOEFL,0.0,112,0,0,0,8.63,4.4,4.5,1,3,1,0.78
PhD,Australia,IELTS,8.5,0,0,0,0,8.79,3.7,3.5,1,0,5,0.76
Masters,Ireland,PTE,0.0,0,65,0,0,6.63,4.5,4.5,1,3,2,0.66
Masters,Switzerland,DET,0.0,0,0,155,0,9.3,1.5,2.3,0,6,2,0.57
Masters,Sweden,PTE,0.0,0,86,0,0,6.64,4.3,4.3,0,4,3,0.57
PhD,Australia,IELTS,6.0,0,0,0,0,7.15,3.5,4.9,1,4,4,0.75
Masters,Australia,DET,0.0,0,0,127,0,7.04,3.5,3.2,1,5,3,0.72
Masters,Netherlands,IELTS,6.3,0,0,0,0,9.04,3.2,4.9,0,5,3,0.62
Undergraduate,Singapore,GRE,0.0,0,0,0,329,8.53,4.7,1.4,1,0,2,0.73
PhD,Australia,TOEFL,0.0,114,0,0,0,8.75,1.3,2.2,1,2,1,0.64
Masters,Sweden,DET,0.0,0,0,100,0,6.27,3.3,2.4,0,0,5,0.48
Undergraduate,Singapore,TOEFL,0.0,114,0,0,0,6.18,4.5,4.9,1,7,5,0.82
PhD,Sweden,PTE,0.0,0,79,0,0,9.0,1.5,4.0,1,2,5,0.66
Masters,France,DET,0.0,0,0,118,0,6.09,2.3,3.0,0,3,1,0.46
Masters,Switzerland,GRE,0.0,0,0,0,322,8.73,2.8,2.1,1,8,4,0.8
Undergraduate,Australia,PTE,0.0,0,81,0,0,7.7,2.8,1.7,1,6,1,0.69
Undergraduate,France,PTE,0.0,0,84,0,0,8.77,1.9,1.3,0,6,3,0.55
Undergraduate,UK,PTE,0.0,0,58,0,0,8.62,2.1,4.8,1,10,4,0.77
Undergraduate,Sweden,GRE,0.0,0,0,0,310,7.73,4.8,2.7,1,2,1,0.71
PhD,Australia,PTE,0.0,0,68,0,0,7.59,2.1,4.9,1,4,1,0.67
Masters,New Zealand,IELTS,8.7,0,0,0,0,6.92,1.9,1.1,0,0,4,0.43
Masters,New Zealand,PTE,0.0,0,76,0,0,7.47,4.5,2.9,0,8,2,0.65
Undergraduate,Germany,GRE,0.0,0,0,0,318,6.74,4.5,4.1,1,9,5,0.82
Masters,Switzerland,TOEFL,0.0,93,0,0,0,9.38,4.0,3.5,0,0,4,0.57
Masters,USA,IELTS,6.1,0,0,0,0,9.68,3.5,4.2,0,0,5,0.63
Masters,New Zealand,DET,0.0,0,0,102,0,6.47,1.5,3.7,1,1,1,0.56
Undergraduate,Sweden,TOEFL,0.0,90,0,0,0,6.8,3.0,1.3,1,3,1,0.6
PhD,New Zealand,TOEFL,0.0,91,0,0,0,7.08,4.2,2.2,0,10,5,0.61
PhD,France,GRE,0.0,0,0,0,322,6.05,1.3,2.6,1,6,1,0.57
Masters,Ireland,GRE,0.0,0,0,0,312,8.4,2.2,3.8,0,1,4,0.57
PhD,UK,IELTS,8.3,0,0,0,0,6.16,2.9,1.4,0,8,2,0.45
Undergraduate,Switzerland,PTE,0.0,0,57,0,0,9.95,1.6,3.0,1,4,2,0.73
PhD,UK,TOEFL,0.0,80,0,0,0,8.81,3.2,1.0,1,4,5,0.7
Masters,Germany,TOEFL,0.0,108,0,0,0,8.07,1.4,2.4,0,7,3,0.48
PhD,Singapore,TOEFL,0.0,88,0,0,0,6.31,2.6,1.5,0,8,3,0.5
Masters,Netherlands,DET,0.0,0,0,123,0,8.76,4.2,1.8,0,10,5,0.64
PhD,New Zealand,IELTS,6.3,0,0,0,0,8.55,3.8,1.1,1,4,5,0.77
Masters,USA,GRE,0.0,0,0,0,309,6.21,3.2,3.8,0,1,5,0.54
Masters,France,PTE,0.0,0,55,0,0,8.86,4.2,2.4,1,0,4,0.76
Masters,Ireland,DET,0.0,0,0,120,0,6.32,4.6,3.2,1,9,5,0.79
Masters,Canada,TOEFL,0.0,106,0,0,0,7.81,3.6,3.1,1,7,2,0.76
Masters,Australia,IELTS,6.2,0,0,0,0,6.24,2.0,1.6,1,9,3,0.67
Undergraduate,Sweden,DET,0.0,0,0,127,0,6.88,4.9,2.3,1,0,2,0.62
Undergraduate,New Zealand,GRE,0.0,0,0,0,303,9.16,3.6,3.0,1,0,5,0.74
Undergraduate,France,DET,0.0,0,0,136,0,8.88,1.9,5.0,1,10,5,0.87
Masters,Switzerland,PTE,0.0,0,89,0,0,8.6,1.8,3.7,0,6,4,0.54
Masters,Switzerland,PTE,0.0,0,62,0,0,6.12,2.0,2.9,1,6,1,0.64
Masters,Australia,PTE,0.0,0,88,0,0,8.91,4.0,2.7,0,8,4,0.64
Undergraduate,Australia,DET,0.0,0,0,124,0,7.48,5.0,1.2,1,6,1,0.74
PhD,Sweden,TOEFL,0.0,104,0,0,0,8.31,2.8,3.9,1,4,4,0.73
Undergraduate,New Zealand,TOEFL,0.0,112,0,0,0,9.49,4.6,2.7,1,7,1,0.78
Masters,Australia,TOEFL,0.0,115,0,0,0,8.37,4.6,1.8,1,1,5,0.74
PhD,USA,IELTS,7.9,0,0,0,0,8.93,1.5,3.9,0,5,2,0.6
Undergraduate,Netherlands,TOEFL,0.0,81,0,0,0,6.72,2.0,4.9,0,1,5,0.47
PhD,Sweden,TOEFL,0.0,96,0,0,0,9.42,3.0,2.0,1,9,5,0.84
Undergraduate,Sweden,IELTS,7.3,0,0,0,0,8.06,2.4,3.4,1,4,4,0.67
Masters,Germany,TOEFL,0.0,81,0,0,0,7.56,4.9,2.0,1,0,3,0.7
PhD,USA,IELTS,7.0,0,0,0,0,9.09,1.5,4.9,1,3,3,0.72
Undergraduate,USA,DET,0.0,0,0,137,0,6.94,1.3,1.7,0,5,5,0.47
PhD,Singapore,TOEFL,0.0,80,0,0,0,7.35,4.3,2.7,0,8,5,0.6
Masters,UK,TOEFL,0.0,90,0,0,0,8.47,3.8,1.7,0,8,5,0.59
Masters,USA,DET,0.0,0,0,95,0,6.15,3.9,3.7,1,6,2,0.68
PhD,Netherlands,GRE,0.0,0,0,0,300,9.38,4.2,3.3,1,5,4,0.85
PhD,UK,GRE,0.0,0,0,0,317,6.82,1.4,2.1,1,7,4,0.59
Masters,Australia,IELTS,7.6,0,0,0,0,9.75,1.2,1.5,1,3,1,0.64
PhD,USA,PTE,0.0,0,65,0,0,9.74,2.3,3.0,0,4,3,0.54
PhD,Netherlands,DET,0.0,0,0,133,0,6.59,4.9,4.9,0,10,5,0.63
Masters,New Zealand,GRE,0.0,0,0,0,329,9.81,3.6,4.5,1,6,1,0.81
Undergraduate,Netherlands,TOEFL,0.0,92,0,0,0,8.06,3.0,3.7,1,7,1,0.69
Masters,Australia,TOEFL,0.0,85,0,0,0,6.12,2.2,3.8,1,6,1,0.6
PhD,Singapore,GRE,0.0,0,0,0,319,8.69,4.9,1.4,1,4,3,0.77
Masters,Netherlands,TOEFL,0.0,116,0,0,0,7.78,4.5,1.7,0,3,2,0.56
PhD,UK,TOEFL,0.0,107,0,0,0,9.35,4.8,3.7,1,8,1,0.83
Masters,Ireland,DET,0.0,0,0,109,0,8.47,4.5,3.3,1,7,1,0.73
Masters,Canada,IELTS,8.8,0,0,0,0,8.76,3.7,1.9,1,3,4,0.74
Masters,Sweden,GRE,0.0,0,0,0,290,7.58,3.6,1.4,0,7,1,0.55
Masters,Australia,IELTS,9.0,0,0,0,0,6.19,4.9,2.6,0,1,3,0.54
PhD,Ireland,IELTS,8.3,0,0,0,0,8.27,4.0,4.5,0,4,1,0.59
Masters,Switzerland,TOEFL,0.0,111,0,0,0,7.31,3.7,4.2,1,3,3,0.74
PhD,Switzerland,IELTS,8.4,0,0,0,0,7.74,4.3,1.5,1,10,2,0.75
Masters,Singapore,DET,0.0,0,0,95,0,6.02,2.3,2.5,1,8,3,0.63
PhD,Ireland,PTE,0.0,0,82,0,0,8.78,2.6,2.8,1,4,4,0.7
Masters,Sweden,GRE,0.0,0,0,0,323,7.49,1.9,1.3,1,8,1,0.65
Masters,New Zealand,PTE,0.0,0,59,0,0,8.67,3.5,2.9,0,5,5,0.6
Undergraduate,Sweden,PTE,0.0,0,51,0,0,9.45,3.1,2.9,0,6,2,0.56
Masters,Canada,IELTS,7.0,0,0,0,0,7.52,2.6,3.3,1,1,1,0.63
PhD,Ireland,DET,0.0,0,0,126,0,8.43,4.1,4.3,0,9,3,0.7
Masters,Canada,TOEFL,0.0,103,0,0,0,9.82,1.1,1.8,1,4,2,0.62
Undergraduate,UK,DET,0.0,0,0,155,0,8.59,4.6,2.0,0,7,3,0.67
Masters,Australia,DET,0.0,0,0,129,0,6.24,4.7,2.4,1,1,2,0.6
PhD,UK,GRE,0.0,0,0,0,332,7.94,2.0,2.1,1,0,1,0.57
Undergraduate,New Zealand,PTE,0.0,0,68,0,0,9.21,3.2,2.2,0,5,3,0.6
Undergraduate,New Zealand,TOEFL,0.0,89,0,0,0,8.86,2.1,2.7,0,6,2,0.52
PhD,Canada,PTE,0.0,0,81,0,0,6.72,3.7,1.7,1,6,4,0.68
Masters,Switzerland,DET,0.0,0,0,117,0,8.84,1.4,3.3,0,4,5,0.53
Undergraduate,Ireland,TOEFL,0.0,87,0,0,0,9.85,2.9,4.2,0,6,3,0.66
Undergraduate,Sweden,PTE,0.0,0,74,0,0,6.17,3.5,4.8,1,8,5,0.76
Masters,Singapore,PTE,0.0,0,64,0,0,9.28,4.5,1.9,1,0,2,0.69
Masters,UK,DET,0.0,0,0,157,0,8.44,2.6,4.4,1,7,2,0.79
PhD,New Zealand,GRE,0.0,0,0,0,314,7.41,1.9,4.1,1,5,2,0.65
Masters,Germany,TOEFL,0.0,108,0,0,0,9.29,2.7,3.7,1,0,4,0.68
Undergraduate,New Zealand,PTE,0.0,0,86,0,0,8.5,2.8,3.3,1,6,3,0.7
PhD,UK,GRE,0.0,0,0,0,305,8.95,4.5,1.9,1,6,3,0.74
PhD,Sweden,IELTS,6.1,0,0,0,0,8.57,3.4,3.2,1,8,4,0.76
Masters,Singapore,TOEFL,0.0,112,0,0,0,7.56,3.4,3.0,0,3,1,0.57
Masters,UK,PTE,0.0,0,59,0,0,6.55,3.8,2.6,0,0,5,0.49
Masters,Netherlands,DET,0.0,0,0,130,0,8.87,3.8,5.0,0,2,2,0.58
Undergraduate,UK,DET,0.0,0,0,95,0,6.42,3.9,3.3,1,7,2,0.68
Masters,Australia,GRE,0.0,0,0,0,306,6.32,1.3,4.6,0,4,2,0.43
PhD,France,GRE,0.0,0,0,0,328,7.29,1.9,2.4,0,8,1,0.46
Undergraduate,Sweden,PTE,0.0,0,88,0,0,8.08,1.3,4.2,0,7,5,0.55
Masters,Netherlands,TOEFL,0.0,115,0,0,0,8.16,4.5,3.6,1,2,5,0.77
Undergraduate,Canada,GRE,0.0,0,0,0,297,7.3,2.3,3.7,0,1,5,0.56
Undergraduate,UK,PTE,0.0,0,83,0,0,8.65,3.2,3.9,1,9,5,0.81
Masters,Germany,PTE,0.0,0,67,0,0,6.24,3.2,4.8,0,3,4,0.5
Undergraduate,Ireland,GRE,0.0,0,0,0,314,8.76,1.8,3.1,0,4,5,0.52
Masters,Canada,TOEFL,0.0,85,0,0,0,7.8,4.0,2.4,0,1,3,0.55
PhD,USA,PTE,0.0,0,64,0,0,9.18,4.7,1.9,0,8,2,0.64
PhD,Germany,DET,0.0,0,0,105,0,6.61,5.0,4.7,0,1,5,0.59
Masters,New Zealand,PTE,0.0,0,84,0,0,9.37,3.1,3.5,0,1,1,0.52
PhD,Germany,PTE,0.0,0,51,0,0,9.02,1.5,4.3,0,6,5,0.63
Undergraduate,France,IELTS,8.1,0,0,0,0,6.14,2.2,2.1,1,8,4,0.63
Masters,UK,GRE,0.0,0,0,0,309,6.35,4.7,3.2,1,5,4,0.7
PhD,Australia,GRE,0.0,0,0,0,314,7.59,2.8,3.4,0,7,1,0.55
Masters,New Zealand,GRE,0.0,0,0,0,302,9.68,3.0,5.0,1,8,2,0.86
Undergraduate,Ireland,IELTS,6.6,0,0,0,0,9.72,1.5,4.3,1,1,5,0.72
Masters,Switzerland,GRE,0.0,0,0,0,307,9.51,4.5,4.2,1,0,2,0.8
Undergraduate,UK,IELTS,6.9,0,0,0,0,6.32,2.6,1.7,1,6,1,0.62
PhD,Netherlands,DET,0.0,0,0,115,0,7.38,4.9,3.6,0,5,1,0.62
PhD,UK,TOEFL,0.0,96,0,0,0,6.53,4.4,4.7,1,0,5,0.7
Masters,Ireland,DET,0.0,0,0,116,0,8.43,4.1,1.7,1,2,1,0.68
PhD,Singapore,DET,0.0,0,0,140,0,7.59,1.6,2.5,1,4,1,0.57
Undergraduate,Sweden,PTE,0.0,0,52,0,0,6.1,1.5,4.9,0,3,3,0.47
PhD,Germany,GRE,0.0,0,0,0,307,9.86,2.7,2.2,0,3,3,0.58
Undergraduate,UK,PTE,0.0,0,56,0,0,7.76,1.4,3.6,0,6,2,0.49
Masters,Netherlands,GRE,0.0,0,0,0,305,8.48,3.6,1.6,1,0,2,0.61
PhD,UK,DET,0.0,0,0,128,0,9.12,2.8,1.2,1,10,1,0.79
Undergraduate,France,GRE,0.0,0,0,0,295,6.23,3.8,4.9,1,9,3,0.72
Masters,Ireland,IELTS,6.4,0,0,0,0,6.49,2.2,1.4,0,5,5,0.49
Masters,Netherlands,PTE,0.0,0,63,0,0,6.25,3.0,5.0,0,6,4,0.59
PhD,Switzerland,GRE,0.0,0,0,0,296,8.46,2.2,3.5,1,8,2,0.73
Masters,UK,DET,0.0,0,0,147,0,7.7,1.5,4.5,1,2,1,0.63
PhD,Netherlands,PTE,0.0,0,82,0,0,6.78,2.5,2.7,0,10,2,0.57
PhD,Germany,IELTS,8.2,0,0,0,0,9.08,1.0,2.7,1,10,1,0.71
Masters,Australia,DET,0.0,0,0,99,0,6.08,2.0,4.0,1,3,1,0.56
PhD,UK,GRE,0.0,0,0,0,324,8.14,1.9,1.0,0,0,3,0.42
PhD,USA,PTE,0.0,0,70,0,0,9.9,4.2,4.8,1,10,4,0.91
Masters,Ireland,GRE,0.0,0,0,0,308,6.44,3.2,2.8,1,0,2,0.63
Undergraduate,New Zealand,GRE,0.0,0,0,0,337,6.39,3.0,1.6,1,2,1,0.56
Undergraduate,Netherlands,DET,0.0,0,0,105,0,8.95,2.9,2.5,0,4,2,0.55
Masters,Canada,IELTS,7.4,0,0,0,0,9.14,4.6,4.8,0,6,2,0.71
PhD,New Zealand,IELTS,6.9,0,0,0,0,8.75,2.8,2.0,0,6,3,0.6
Undergraduate,Switzerland,PTE,0.0,0,51,0,0,6.15,4.6,2.8,0,8,1,0.56
PhD,New Zealand,TOEFL,0.0,81,0,0,0,8.64,4.6,3.5,1,8,3,0.83
Undergraduate,UK,TOEFL,0.0,120,0,0,0,6.27,3.1,1.6,0,1,2,0.45
Masters,Germany,TOEFL,0.0,97,0,0,0,8.05,3.7,1.2,1,6,4,0.68
PhD,France,IELTS,8.1,0,0,0,0,6.29,1.3,1.0,0,3,1,0.41
Undergraduate,France,DET,0.0,0,0,101,0,8.95,2.4,2.2,1,7,1,0.69
Masters,Singapore,TOEFL,0.0,91,0,0,0,9.1,3.6,1.7,0,6,5,0.59
Undergraduate,Sweden,PTE,0.0,0,81,0,0,6.39,3.6,4.1,1,5,5,0.69
Undergraduate,UK,GRE,0.0,0,0,0,338,6.08,1.3,4.9,0,9,5,0.52
PhD,Singapore,GRE,0.0,0,0,0,309,9.08,3.5,2.5,0,10,1,0.6
Undergraduate,Netherlands,GRE,0.0,0,0,0,319,6.49,3.5,4.1,0,1,2,0.51
Masters,New Zealand,GRE,0.0,0,0,0,297,8.12,1.2,4.9,0,2,2,0.54
Undergraduate,Sweden,TOEFL,0.0,98,0,0,0,7.17,4.9,3.4,1,8,4,0.79
PhD,UK,PTE,0.0,0,65,0,0,8.99,4.2,3.6,0,7,5,0.65
PhD,France,GRE,0.0,0,0,0,317,7.35,4.7,1.9,0,1,4,0.52
PhD,New Zealand,TOEFL,0.0,86,0,0,0,7.73,2.8,3.5,1,0,3,0.7
Masters,Canada,IELTS,6.7,0,0,0,0,6.49,1.8,4.5,1,1,4,0.64
Masters,New Zealand,PTE,0.0,0,70,0,0,7.14,4.3,4.4,0,4,1,0.6
Masters,Germany,GRE,0.0,0,0,0,340,9.68,2.0,4.0,1,1,3,0.71
Masters,Switzerland,IELTS,8.5,0,0,0,0,8.91,4.1,3.6,1,0,5,0.72
Masters,Sweden,PTE,0.0,0,64,0,0,8.18,4.9,4.7,0,6,2,0.61
Masters,Netherlands,GRE,0.0,0,0,0,331,6.66,1.5,3.9,1,7,4,0.7
Undergraduate,New Zealand,DET,0.0,0,0,154,0,6.85,3.0,4.4,1,8,5,0.77
PhD,USA,PTE,0.0,0,61,0,0,8.17,3.4,3.0,1,4,2,0.69
Undergraduate,Australia,IELTS,7.7,0,0,0,0,8.76,4.5,3.5,1,9,1,0.84
Masters,Netherlands,DET,0.0,0,0,130,0,6.64,2.8,1.0,0,1,4,0.41
Masters,Australia,GRE,0.0,0,0,0,333,8.91,5.0,1.4,1,4,5,0.77
PhD,Netherlands,PTE,0.0,0,59,0,0,9.2,1.8,3.2,1,9,4,0.79
Undergraduate,France,PTE,0.0,0,68,0,0,8.46,1.8,2.4,1,7,3,0.73
Undergraduate,Switzerland,DET,0.0,0,0,153,0,8.22,1.0,4.0,1,6,2,0.63
PhD,Australia,DET,0.0,0,0,134,0,8.98,1.8,4.8,1,9,5,0.79
PhD,Netherlands,DET,0.0,0,0,91,0,7.31,1.6,2.2,0,3,1,0.48
Masters,France,TOEFL,0.0,94,0,0,0,9.99,2.5,2.8,1,4,5,0.79
Undergraduate,Netherlands,DET,0.0,0,0,92,0,9.54,3.4,2.6,0,8,2,0.63
PhD,Australia,DET,0.0,0,0,93,0,8.78,1.0,3.5,0,7,4,0.55
PhD,UK,GRE,0.0,0,0,0,310,9.18,1.4,3.4,0,3,3,0.54
PhD,Canada,IELTS,7.9,0,0,0,0,6.26,3.3,3.2,0,5,4,0.53
PhD,UK,GRE,0.0,0,0,0,300,8.41,3.7,4.2,0,2,4,0.58
Undergraduate,Ireland,GRE,0.0,0,0,0,294,9.3,3.0,1.3,1,4,5,0.69
Masters,USA,DET,0.0,0,0,119,0,7.34,4.1,3.8,0,10,4,0.67
Undergraduate,Switzerland,IELTS,7.6,0,0,0,0,7.76,1.6,2.3,0,5,3,0.49
Undergraduate,UK,DET,0.0,0,0,156,0,6.35,1.9,3.4,1,5,4,0.66
PhD,Switzerland,GRE,0.0,0,0,0,312,9.99,4.7,3.6,0,2,3,0.65
PhD,Netherlands,PTE,0.0,0,64,0,0,8.54,4.1,1.5,0,4,1,0.54
Masters,France,PTE,0.0,0,65,0,0,9.36,2.5,3.3,1,6,2,0.76
Undergraduate,USA,GRE,0.0,0,0,0,319,6.74,2.4,2.3,1,3,4,0.58
Undergraduate,Germany,DET,0.0,0,0,104,0,6.1,4.3,2.1,1,0,5,0.64
Masters,Switzerland,PTE,0.0,0,69,0,0,7.19,4.8,2.0,0,6,2,0.56
Masters,France,PTE,0.0,0,85,0,0,9.49,4.4,1.7,0,9,1,0.68
Undergraduate,Australia,TOEFL,0.0,97,0,0,0,7.83,2.9,1.5,0,6,1,0.47
PhD,New Zealand,IELTS,8.2,0,0,0,0,7.99,2.7,3.9,1,6,5,0.78
Undergraduate,Singapore,DET,0.0,0,0,155,0,6.64,3.4,1.5,0,10,4,0.58
PhD,France,DET,0.0,0,0,155,0,8.63,4.8,1.3,0,5,4,0.57
Undergraduate,Netherlands,PTE,0.0,0,59,0,0,7.13,2.0,2.0,1,2,3,0.64
Undergraduate,Sweden,GRE,0.0,0,0,0,302,7.0,2.1,4.0,0,2,5,0.5
PhD,Netherlands,PTE,0.0,0,90,0,0,9.11,1.3,3.0,0,5,1,0.48
Undergraduate,Singapore,TOEFL,0.0,89,0,0,0,6.25,4.6,1.6,0,0,2,0.46
PhD,Ireland,IELTS,7.2,0,0,0,0,7.39,4.6,1.1,1,3,5,0.72
Masters,France,TOEFL,0.0,94,0,0,0,9.85,3.2,4.7,0,1,3,0.58
Undergraduate,Germany,DET,0.0,0,0,156,0,7.68,2.0,3.9,0,5,3,0.58
Masters,UK,TOEFL,0.0,97,0,0,0,7.03,3.6,1.8,0,7,4,0.56
PhD,Singapore,PTE,0.0,0,70,0,0,7.86,4.9,3.4,1,1,5,0.74
Undergraduate,Switzerland,PTE,0.0,0,66,0,0,6.46,1.6,1.9,0,10,4,0.48
Masters,France,GRE,0.0,0,0,0,319,9.4,3.2,3.1,1,5,3,0.73
Masters,Canada,PTE,0.0,0,67,0,0,9.44,3.9,1.3,0,0,4,0.58
PhD,Sweden,IELTS,7.6,0,0,0,0,6.33,2.8,2.9,0,5,3,0.46
Undergraduate,Switzerland,IELTS,8.8,0,0,0,0,9.4,3.7,2.8,0,3,5,0.62
Undergraduate,Canada,TOEFL,0.0,108,0,0,0,8.6,3.2,1.2,1,8,5,0.75
Undergraduate,New Zealand,IELTS,8.4,0,0,0,0,7.84,1.2,4.1,1,1,2,0.59
Undergraduate,Ireland,DET,0.0,0,0,111,0,7.03,1.7,2.3,1,1,3,0.61
Undergraduate,Canada,TOEFL,0.0,93,0,0,0,8.08,1.8,4.5,1,4,1,0.71
Undergraduate,Singapore,TOEFL,0.0,102,0,0,0,9.48,2.0,2.8,1,6,1,0.77
PhD,Sweden,PTE,0.0,0,67,0,0,9.09,1.1,1.3,0,4,2,0.48
Undergraduate,UK,DET,0.0,0,0,140,0,9.64,3.2,3.0,0,6,5,0.61
