Degree_Level,Country_Aiming,Exam_Type,IELTS,TOEFL,PTE,DET,GRE,CGPA,SOP,LOR,Research,Work_Experience_Years,Program_Competitiveness,Chance_of_Admit
PhD,USA,PTE,0.0,0,52,0,0,8.63,4.3,2.5,0,1,4,0.61
PhD,Canada,PTE,0.0,0,66,0,0,9.86,1.8,3.1,1,4,1,0.69
PhD,USA,TOEFL,0.0,98,0,0,0,9.17,3.3,3.5,1,7,2,0.81
Undergraduate,Canada,GRE,0.0,0,0,0,304,7.58,4.7,3.1,1,10,2,0.75
PhD,Canada,TOEFL,0.0,80,0,0,0,8.78,4.2,2.3,1,10,3,0.85
Masters,USA,PTE,0.0,0,74,0,0,9.62,2.1,4.9,1,1,3,0.7
Masters,Germany,PTE,0.0,0,74,0,0,6.81,1.7,4.6,1,1,4,0.65
Undergraduate,New Zealand,TOEFL,0.0,114,0,0,0,6.61,2.8,3.5,0,8,4,0.51
PhD,New Zealand,TOEFL,0.0,98,0,0,0,9.53,4.2,3.0,0,8,3,0.73
Masters,Singapore,GRE,0.0,0,0,0,318,7.67,4.9,3.7,0,9,1,0.65
Undergraduate,Ireland,PTE,0.0,0,78,0,0,6.66,4.5,2.7,0,10,5,0.59
Masters,Canada,TOEFL,0.0,97,0,0,0,6.05,3.2,3.1,0,10,4,0.58
Undergraduate,Germany,GRE,0.0,0,0,0,313,9.56,1.3,3.9,0,3,1,0.51
Undergraduate,Australia,IELTS,8.6,0,0,0,0,9.28,3.2,3.8,0,10,5,0.68
Undergraduate,Germany,PTE,0.0,0,56,0,0,7.88,4.3,2.8,1,9,1,0.75
Masters,Germany,GRE,0.0,0,0,0,326,7.98,4.3,2.3,0,7,3,0.57
PhD,Sweden,PTE,0.0,0,55,0,0,8.85,4.3,1.4,0,0,2,0.51
PhD,Ireland,DET,0.0,0,0,116,0,6.57,2.4,2.8,0,7,2,0.52
PhD,Singapore,TOEFL,0.0,115,0,0,0,8.6,3.5,2.4,0,1,5,0.6
Masters,Ireland,IELTS,7.4,0,0,0,0,9.92,3.5,1.5,0,2,1,0.58
Undergraduate,Canada,GRE,0.0,0,0,0,340,7.3,3.7,1.3,0,4,1,0.46
Masters,Singapore,PTE,0.0,0,82,0,0,9.42,1.9,4.3,1,10,1,0.76
Masters,Germany,PTE,0.0,0,50,0,0,8.57,3.8,3.1,1,7,1,0.74
Masters,Germany,IELTS,6.6,0,0,0,0,6.13,2.2,3.6,0,0,1,0.46
PhD,Sweden,IELTS,8.6,0,0,0,0,9.06,4.2,3.7,1,7,4,0.8
PhD,USA,TOEFL,0.0,101,0,0,0,9.63,3.7,3.2,0,1,3,0.56
Undergraduate,USA,IELTS,7.3,0,0,0,0,7.84,4.5,3.2,0,1,1,0.53
Masters,Switzerland,DET,0.0,0,0,114,0,9.91,1.4,2.7,1,5,1,0.66
PhD,Singapore,DET,0.0,0,0,122,0,8.96,4.7,2.1,0,8,5,0.71
Undergraduate,Sweden,PTE,0.0,0,56,0,0,7.17,4.6,4.0,1,3,4,0.77
PhD,Canada,PTE,0.0,0,79,0,0,6.07,4.9,3.9,1,3,1,0.66
Undergraduate,Australia,IELTS,8.5,0,0,0,0,7.13,4.5,1.5,0,6,5,0.59
PhD,UK,IELTS,7.6,0,0,0,0,6.39,2.0,1.0,0,3,3,0.41
PhD,Germany,IELTS,6.9,0,0,0,0,8.39,2.2,2.2,1,1,1,0.65
Masters,Germany,GRE,0.0,0,0,0,329,6.19,4.6,4.4,1,10,2,0.78
PhD,Canada,DET,0.0,0,0,114,0,8.37,4.6,1.7,1,5,3,0.7
Undergraduate,Netherlands,TOEFL,0.0,106,0,0,0,6.96,4.2,1.1,0,7,2,0.54
Masters,Netherlands,PTE,0.0,0,85,0,0,9.98,4.4,3.1,0,3,3,0.61
Undergraduate,New Zealand,IELTS,8.5,0,0,0,0,8.4,1.5,1.4,1,4,2,0.67
PhD,USA,PTE,0.0,0,52,0,0,8.68,4.3,4.5,1,3,2,0.78
Undergraduate,USA,DET,0.0,0,0,105,0,8.07,2.7,2.3,1,3,1,0.64
Undergraduate,Canada,DET,0.0,0,0,102,0,9.1,3.4,4.6,0,10,4,0.7
Masters,France,DET,0.0,0,0,100,0,8.43,3.5,3.4,1,6,3,0.78
PhD,UK,DET,0.0,0,0,143,0,6.95,3.0,1.4,0,7,1,0.48
Masters,Singapore,TOEFL,0.0,92,0,0,0,7.95,3.6,4.8,1,7,5,0.81
Masters,UK,GRE,0.0,0,0,0,297,8.97,3.0,3.5,1,3,1,0.67
PhD,USA,DET,0.0,0,0,121,0,7.02,2.4,2.9,1,2,2,0.57
PhD,Ireland,DET,0.0,0,0,134,0,6.56,2.1,4.9,1,9,5,0.71
Masters,Germany,TOEFL,0.0,89,0,0,0,7.93,1.8,3.4,1,2,4,0.64
Masters,Switzerland,GRE,0.0,0,0,0,324,6.83,3.1,1.0,0,4,4,0.43
Undergraduate,Netherlands,GRE,0.0,0,0,0,324,6.88,1.1,1.4,0,0,5,0.39
PhD,Canada,IELTS,8.4,0,0,0,0,8.29,3.1,2.2,0,1,2,0.55
Masters,Germany,PTE,0.0,0,62,0,0,7.59,1.3,3.5,1,10,1,0.65
Masters,Australia,TOEFL,0.0,101,0,0,0,7.38,3.0,4.5,0,2,2,0.53
PhD,Germany,PTE,0.0,0,78,0,0,8.81,5.0,1.5,1,7,2,0.76
Undergraduate,Germany,PTE,0.0,0,80,0,0,7.58,2.7,2.6,1,4,4,0.72
Undergraduate,New Zealand,GRE,0.0,0,0,0,319,8.86,3.4,2.2,1,3,4,0.76
Undergraduate,USA,GRE,0.0,0,0,0,291,9.82,4.3,1.0,0,10,5,0.71
PhD,Ireland,DET,0.0,0,0,127,0,6.2,2.0,1.2,1,0,1,0.52
Undergraduate,France,TOEFL,0.0,92,0,0,0,8.75,1.5,2.5,1,7,1,0.68
Undergraduate,USA,DET,0.0,0,0,146,0,7.48,1.5,2.7,1,7,3,0.69
PhD,Germany,DET,0.0,0,0,91,0,6.28,1.3,2.4,0,2,4,0.46
Masters,Sweden,GRE,0.0,0,0,0,301,8.67,3.7,2.4,1,1,5,0.73
PhD,Australia,PTE,0.0,0,68,0,0,6.04,3.5,4.7,1,0,3,0.65
PhD,Australia,IELTS,8.6,0,0,0,0,8.9,1.5,4.6,1,10,1,0.72
Undergraduate,Australia,TOEFL,0.0,97,0,0,0,8.14,1.6,1.0,0,4,3,0.47
PhD,Sweden,IELTS,6.9,0,0,0,0,7.94,3.3,1.2,0,1,2,0.44
Undergraduate,Netherlands,PTE,0.0,0,77,0,0,8.23,2.4,3.9,1,3,5,0.73
Undergraduate,France,TOEFL,0.0,104,0,0,0,9.38,3.8,2.7,0,1,5,0.62
PhD,Netherlands,DET,0.0,0,0,116,0,7.1,2.2,4.2,0,4,3,0.51
Undergraduate,Australia,IELTS,8.4,0,0,0,0,9.29,4.4,4.7,0,3,1,0.63
Undergraduate,Germany,IELTS,7.0,0,0,0,0,8.33,2.5,3.4,0,2,3,0.56
Masters,Singapore,DET,0.0,0,0,98,0,8.75,2.5,1.7,1,0,2,0.63
Undergraduate,UK,PTE,0.0,0,76,0,0,6.57,4.6,2.4,0,8,4,0.55
Undergraduate,Canada,TOEFL,0.0,106,0,0,0,6.1,3.6,3.5,1,3,5,0.66
PhD,Germany,PTE,0.0,0,63,0,0,6.29,2.6,2.2,0,7,5,0.53
Undergraduate,Netherlands,DET,0.0,0,0,144,0,8.42,2.5,1.9,1,6,1,0.73
PhD,Ireland,GRE,0.0,0,0,0,336,7.82,3.8,1.6,1,8,1,0.71
Masters,Germany,TOEFL,0.0,87,0,0,0,6.11,3.0,4.9,1,2,5,0.66
PhD,France,TOEFL,0.0,118,0,0,0,6.16,1.1,2.6,1,1,1,0.49
Masters,France,DET,0.0,0,0,126,0,6.09,4.0,2.8,1,3,5,0.65
Undergraduate,Sweden,PTE,0.0,0,83,0,0,9.6,1.5,4.8,1,6,2,0.74
Masters,Ireland,GRE,0.0,0,0,0,302,9.55,3.4,4.3,1,5,2,0.84
Undergraduate,Australia,GRE,0.0,0,0,0,302,7.15,4.8,2.6,1,2,4,0.69
Undergraduate,Ireland,TOEFL,0.0,110,0,0,0,7.36,3.2,1.6,1,9,2,0.7
Undergraduate,USA,IELTS,7.6,0,0,0,0,9.05,4.3,2.8,1,5,1,0.74
Masters,Germany,GRE,0.0,0,0,0,322,7.04,1.8,1.2,0,1,1,0.38
Masters,Canada,DET,0.0,0,0,128,0,7.08,4.9,3.2,0,0,1,0.5
Masters,Switzerland,TOEFL,0.0,82,0,0,0,8.32,1.6,2.8,0,4,2,0.52
PhD,Sweden,IELTS,7.5,0,0,0,0,7.61,5.0,4.5,0,4,2,0.63
Undergraduate,France,DET,0.0,0,0,107,0,8.28,3.5,1.8,1,8,4,0.74
Undergraduate,Australia,TOEFL,0.0,89,0,0,0,6.16,2.9,3.2,1,5,3,0.62
Masters,France,TOEFL,0.0,86,0,0,0,9.86,4.6,3.9,0,9,4,0.74
PhD,Singapore,GRE,0.0,0,0,0,303,9.48,1.5,4.2,0,7,2,0.56
Masters,New Zealand,TOEFL,0.0,95,0,0,0,9.18,2.1,4.5,0,3,3,0.63
PhD,Netherlands,DET,0.0,0,0,92,0,6.6,2.9,4.9,1,9,3,0.73
PhD,USA,GRE,0.0,0,0,0,293,9.45,3.4,2.5,0,6,3,0.6
Masters,Australia,GRE,0.0,0,0,0,332,6.81,4.0,2.5,1,6,4,0.71
Undergraduate,Sweden,TOEFL,0.0,85,0,0,0,7.97,3.3,4.5,0,7,3,0.67
Undergraduate,Netherlands,PTE,0.0,0,86,0,0,7.63,4.3,4.1,1,0,5,0.74
Undergraduate,New Zealand,IELTS,8.9,0,0,0,0,6.8,1.4,4.4,0,4,1,0.46
Undergraduate,France,IELTS,8.5,0,0,0,0,9.57,1.2,4.5,0,3,5,0.59
PhD,Netherlands,PTE,0.0,0,64,0,0,8.04,3.5,4.7,1,2,5,0.7
Undergraduate,New Zealand,DET,0.0,0,0,128,0,7.91,3.8,3.9,1,3,1,0.73
PhD,Germany,PTE,0.0,0,72,0,0,6.54,2.2,2.4,0,0,1,0.43
Undergraduate,Singapore,IELTS,6.8,0,0,0,0,6.84,4.8,1.0,1,8,3,0.76
PhD,Canada,IELTS,8.0,0,0,0,0,9.31,2.2,1.1,1,7,1,0.72
Undergraduate,Netherlands,GRE,0.0,0,0,0,324,9.34,4.0,1.6,1,6,1,0.77
Undergraduate,Netherlands,DET,0.0,0,0,147,0,9.08,3.6,4.1,0,0,4,0.63
Masters,New Zealand,PTE,0.0,0,60,0,0,8.45,1.4,3.0,1,1,3,0.6
Masters,Canada,GRE,0.0,0,0,0,302,7.63,2.6,1.3,0,2,5,0.48
PhD,UK,TOEFL,0.0,100,0,0,0,6.44,4.2,4.8,1,8,3,0.71
PhD,USA,DET,0.0,0,0,131,0,9.82,3.1,2.2,0,6,5,0.6
Undergraduate,New Zealand,TOEFL,0.0,112,0,0,0,8.0,4.2,3.8,1,8,1,0.73
Undergraduate,Canada,IELTS,6.2,0,0,0,0,7.61,2.2,1.9,1,3,1,0.59
PhD,Germany,PTE,0.0,0,60,0,0,9.21,4.7,2.6,0,0,5,0.66
Undergraduate,UK,TOEFL,0.0,83,0,0,0,7.29,2.9,1.9,1,4,1,0.64
Undergraduate,USA,GRE,0.0,0,0,0,314,9.92,3.4,2.4,1,5,2,0.78
PhD,Australia,DET,0.0,0,0,152,0,6.49,4.6,3.0,0,1,5,0.53
Masters,UK,TOEFL,0.0,100,0,0,0,8.34,3.5,1.3,0,2,1,0.52
PhD,Germany,DET,0.0,0,0,129,0,6.97,3.9,4.3,1,3,1,0.72
Masters,Germany,IELTS,7.7,0,0,0,0,8.08,1.6,4.1,0,10,2,0.56
Masters,Switzerland,PTE,0.0,0,59,0,0,7.99,2.1,1.5,0,8,4,0.56
PhD,USA,DET,0.0,0,0,149,0,6.22,4.0,2.3,0,10,5,0.53
PhD,Singapore,DET,0.0,0,0,146,0,8.04,1.2,2.1,0,9,5,0.57
PhD,Ireland,TOEFL,0.0,109,0,0,0,6.25,4.4,1.0,0,9,3,0.52
Undergraduate,Singapore,DET,0.0,0,0,94,0,8.96,2.3,1.4,1,6,4,0.7
Masters,New Zealand,GRE,0.0,0,0,0,302,7.08,4.4,2.3,1,8,4,0.77
Masters,Canada,IELTS,8.7,0,0,0,0,7.74,4.6,2.5,1,9,5,0.85
PhD,Canada,GRE,0.0,0,0,0,307,6.36,3.7,3.0,1,7,5,0.7
Masters,USA,TOEFL,0.0,103,0,0,0,8.53,3.8,1.0,1,1,2,0.63
PhD,USA,PTE,0.0,0,50,0,0,8.85,3.7,4.9,1,7,5,0.86
Undergraduate,Canada,PTE,0.0,0,53,0,0,9.8,3.8,2.2,1,4,3,0.73
Undergraduate,Ireland,TOEFL,0.0,92,0,0,0,9.13,3.6,1.2,0,0,3,0.52
PhD,New Zealand,DET,0.0,0,0,135,0,9.83,3.0,2.7,0,8,4,0.65
PhD,Singapore,IELTS,6.6,0,0,0,0,7.47,2.5,1.2,0,7,1,0.52
PhD,France,DET,0.0,0,0,133,0,7.67,4.3,4.4,1,4,3,0.73
Undergraduate,Australia,GRE,0.0,0,0,0,318,8.63,2.9,4.5,0,0,3,0.53
Masters,Sweden,IELTS,8.0,0,0,0,0,8.43,2.2,1.5,1,8,1,0.7
PhD,Ireland,GRE,0.0,0,0,0,331,8.95,2.3,3.6,0,0,2,0.51
PhD,Australia,TOEFL,0.0,119,0,0,0,8.85,1.8,4.6,1,4,2,0.69
PhD,Switzerland,PTE,0.0,0,80,0,0,7.47,1.2,1.4,0,9,1,0.48
PhD,UK,IELTS,6.8,0,0,0,0,9.34,1.1,2.5,1,7,2,0.68
Undergraduate,Netherlands,DET,0.0,0,0,146,0,6.08,1.5,2.7,0,7,2,0.45
Masters,Sweden,TOEFL,0.0,108,0,0,0,7.62,3.1,3.4,0,0,4,0.47
PhD,Ireland,PTE,0.0,0,80,0,0,7.86,4.9,3.1,1,9,4,0.83
Undergraduate,Singapore,PTE,0.0,0,79,0,0,7.25,4.1,4.1,0,3,5,0.59
PhD,Australia,PTE,0.0,0,72,0,0,9.9,1.5,1.1,1,4,1,0.69
PhD,Sweden,TOEFL,0.0,88,0,0,0,9.23,1.5,2.1,0,10,2,0.53
PhD,Switzerland,GRE,0.0,0,0,0,324,7.17,4.1,3.1,0,2,2,0.51
Masters,France,PTE,0.0,0,88,0,0,7.49,1.0,2.2,0,2,3,0.45
PhD,USA,IELTS,8.9,0,0,0,0,9.39,1.1,4.6,0,5,4,0.62
Undergraduate,Ireland,IELTS,8.3,0,0,0,0,7.83,2.6,2.2,1,6,5,0.66
PhD,New Zealand,TOEFL,0.0,109,0,0,0,6.91,2.0,2.9,1,9,5,0.72
Masters,USA,GRE,0.0,0,0,0,339,7.9,1.2,4.8,1,2,2,0.69
Masters,UK,PTE,0.0,0,58,0,0,9.14,5.0,3.2,1,0,5,0.83
Masters,Australia,GRE,0.0,0,0,0,296,6.3,2.5,1.9,1,1,2,0.53
Masters,USA,PTE,0.0,0,79,0,0,6.56,3.5,4.1,0,9,3,0.59
Undergraduate,UK,DET,0.0,0,0,106,0,6.59,4.2,3.5,1,6,1,0.69
Masters,France,IELTS,8.0,0,0,0,0,7.04,2.4,4.7,1,9,4,0.72
Masters,Germany,PTE,0.0,0,83,0,0,7.88,4.6,3.8,0,8,3,0.61
Masters,Sweden,DET,0.0,0,0,91,0,6.59,1.0,3.5,1,7,4,0.64
PhD,UK,IELTS,6.4,0,0,0,0,9.83,3.1,2.0,0,8,2,0.63
Undergraduate,Ireland,DET,0.0,0,0,92,0,8.72,1.3,2.1,1,1,4,0.67
PhD,Netherlands,IELTS,7.4,0,0,0,0,8.19,2.7,1.2,0,7,3,0.51
Undergraduate,New Zealand,DET,0.0,0,0,114,0,7.78,1.8,1.2,0,0,3,0.46
Undergraduate,France,IELTS,8.9,0,0,0,0,9.17,4.4,2.0,0,6,3,0.68
Masters,Netherlands,GRE,0.0,0,0,0,307,6.79,4.8,5.0,1,3,1,0.74
Masters,USA,PTE,0.0,0,74,0,0,9.92,3.3,2.0,1,8,2,0.78
Undergraduate,Australia,IELTS,7.8,0,0,0,0,6.29,3.5,4.9,1,4,1,0.64
PhD,UK,GRE,0.0,0,0,0,293,9.17,4.6,4.8,0,10,1,0.76
Undergraduate,Singapore,DET,0.0,0,0,154,0,8.09,4.9,4.0,1,7,3,0.78
Undergraduate,Netherlands,IELTS,7.4,0,0,0,0,8.87,2.0,3.6,1,1,5,0.72
Undergraduate,Netherlands,PTE,0.0,0,60,0,0,6.65,3.3,4.1,1,8,2,0.71
Undergraduate,Australia,IELTS,6.0,0,0,0,0,6.04,2.4,4.7,0,2,4,0.46
Masters,UK,IELTS,7.9,0,0,0,0,6.89,2.3,4.4,1,10,5,0.77
PhD,Australia,GRE,0.0,0,0,0,313,6.38,2.7,1.1,0,8,3,0.48
Masters,France,TOEFL,0.0,95,0,0,0,8.65,1.5,2.2,0,1,4,0.48
Undergraduate,Netherlands,PTE,0.0,0,80,0,0,9.68,5.0,1.2,0,5,3,0.67
PhD,Germany,DET,0.0,0,0,104,0,7.49,2.6,4.0,0,6,3,0.6
Masters,UK,DET,0.0,0,0,131,0,9.8,3.3,2.4,0,8,2,0.67
PhD,Sweden,DET,0.0,0,0,146,0,7.0,3.3,2.4,1,5,5,0.71
Undergraduate,France,DET,0.0,0,0,135,0,6.96,1.8,4.7,1,5,4,0.64
PhD,New Zealand,PTE,0.0,0,70,0,0,8.02,1.9,1.2,1,9,2,0.63
Undergraduate,UK,DET,0.0,0,0,132,0,6.7,4.5,2.1,1,10,1,0.77
Masters,Canada,PTE,0.0,0,80,0,0,8.33,2.7,3.3,0,4,2,0.55
PhD,Singapore,GRE,0.0,0,0,0,315,9.04,2.1,2.4,1,0,3,0.7
Masters,Australia,DET,0.0,0,0,126,0,9.79,4.6,2.7,1,9,5,0.9
Undergraduate,France,PTE,0.0,0,59,0,0,7.91,3.0,1.8,1,2,1,0.64
Masters,Ireland,PTE,0.0,0,79,0,0,6.74,2.3,4.4,1,4,1,0.61
Masters,UK,PTE,0.0,0,88,0,0,6.28,1.3,4.8,1,1,2,0.59
Masters,UK,TOEFL,0.0,109,0,0,0,7.64,4.2,4.3,0,4,3,0.58
Undergraduate,Switzerland,GRE,0.0,0,0,0,292,8.77,4.1,3.6,0,1,1,0.54
PhD,New Zealand,DET,0.0,0,0,98,0,9.5,3.2,2.1,1,2,1,0.69
PhD,Canada,PTE,0.0,0,87,0,0,6.15,1.5,4.1,1,7,2,0.58
Undergraduate,UK,IELTS,7.2,0,0,0,0,8.09,1.2,4.9,1,5,2,0.66
Masters,UK,PTE,0.0,0,86,0,0,7.22,2.2,1.9,1,9,2,0.62
PhD,Ireland,PTE,0.0,0,81,0,0,8.92,4.9,1.9,0,8,2,0.66
Undergraduate,New Zealand,PTE,0.0,0,81,0,0,8.97,4.4,2.7,0,4,1,0.58
Undergraduate,Germany,TOEFL,0.0,120,0,0,0,7.3,3.9,4.3,1,4,1,0.68
PhD,Netherlands,IELTS,7.1,0,0,0,0,9.61,4.2,4.9,0,10,1,0.75
Undergraduate,New Zealand,TOEFL,0.0,104,0,0,0,7.57,3.4,3.6,0,8,3,0.56
PhD,Ireland,DET,0.0,0,0,105,0,8.18,3.8,1.7,0,9,1,0.61
Undergraduate,Switzerland,DET,0.0,0,0,156,0,8.34,4.8,1.2,0,8,1,0.58
Masters,Netherlands,PTE,0.0,0,70,0,0,8.41,2.2,3.9,1,4,1,0.71
PhD,Sweden,TOEFL,0.0,114,0,0,0,6.41,3.1,3.0,1,3,2,0.61
Undergraduate,Sweden,DET,0.0,0,0,101,0,9.73,4.3,3.8,1,4,5,0.86
PhD,UK,PTE,0.0,0,59,0,0,7.85,4.7,3.8,0,6,4,0.66
Masters,USA,IELTS,8.6,0,0,0,0,7.1,4.2,1.8,1,7,2,0.69
Masters,Sweden,TOEFL,0.0,104,0,0,0,7.34,4.9,4.4,1,4,2,0.77
Masters,USA,TOEFL,0.0,101,0,0,0,8.91,3.2,4.8,1,10,1,0.81
PhD,USA,TOEFL,0.0,81,0,0,0,7.52,1.7,4.1,0,2,3,0.52
PhD,Ireland,IELTS,7.2,0,0,0,0,6.1,4.4,1.0,0,2,2,0.48
Undergraduate,Ireland,PTE,0.0,0,62,0,0,9.88,2.8,1.9,1,4,2,0.75
PhD,Netherlands,DET,0.0,0,0,158,0,9.27,3.2,4.9,1,10,1,0.78
Masters,Switzerland,IELTS,7.5,0,0,0,0,8.87,4.5,1.7,1,5,2,0.78
Masters,Switzerland,IELTS,7.7,0,0,0,0,7.59,1.5,4.5,1,7,3,0.67
Undergraduate,Ireland,PTE,0.0,0,66,0,0,7.24,2.2,4.5,0,10,2,0.6
Masters,USA,GRE,0.0,0,0,0,313,9.19,2.0,3.5,1,7,1,0.74
PhD,Netherlands,DET,0.0,0,0,103,0,9.33,4.6,1.0,1,8,1,0.79
Masters,Sweden,GRE,0.0,0,0,0,320,6.21,3.2,2.2,0,4,1,0.44
PhD,Sweden,GRE,0.0,0,0,0,326,7.41,3.5,2.3,0,0,4,0.52
PhD,Canada,PTE,0.0,0,86,0,0,7.62,1.3,4.1,1,3,2,0.62
PhD,New Zealand,IELTS,7.3,0,0,0,0,8.74,2.3,1.2,1,2,4,0.65
PhD,New Zealand,IELTS,8.8,0,0,0,0,8.57,3.7,3.5,0,0,4,0.54
Masters,Germany,DET,0.0,0,0,143,0,7.67,4.0,1.4,0,1,1,0.46
Masters,Germany,TOEFL,0.0,103,0,0,0,7.11,2.7,4.9,0,2,3,0.48
Masters,Canada,TOEFL,0.0,95,0,0,0,8.07,1.7,4.9,1,7,1,0.67
PhD,UK,IELTS,7.2,0,0,0,0,8.95,3.8,2.7,1,8,1,0.76
Masters,France,PTE,0.0,0,79,0,0,7.59,2.1,1.8,1,3,1,0.6
Masters,Germany,IELTS,6.8,0,0,0,0,7.15,3.6,4.9,0,7,2,0.61
Masters,France,PTE,0.0,0,77,0,0,6.31,1.3,4.8,1,4,2,0.6
Undergraduate,New Zealand,TOEFL,0.0,112,0,0,0,6.37,3.4,3.5,1,6,2,0.69
PhD,Ireland,PTE,0.0,0,87,0,0,7.07,1.1,4.9,0,8,2,0.5
Undergraduate,UK,IELTS,8.0,0,0,0,0,8.83,3.4,2.3,0,6,1,0.55
PhD,Switzerland,GRE,0.0,0,0,0,297,8.39,4.5,4.8,0,5,1,0.6
Undergraduate,New Zealand,PTE,0.0,0,57,0,0,6.62,4.8,3.9,0,8,3,0.65
PhD,Canada,GRE,0.0,0,0,0,335,6.81,3.4,3.8,0,7,5,0.6
Masters,UK,IELTS,7.2,0,0,0,0,6.06,3.3,2.0,1,0,3,0.58
Masters,Sweden,GRE,0.0,0,0,0,301,9.83,2.6,4.4,0,4,4,0.61
Masters,Singapore,PTE,0.0,0,89,0,0,8.69,4.9,1.4,1,5,2,0.7
Masters,Switzerland,TOEFL,0.0,108,0,0,0,7.73,1.4,4.0,0,3,2,0.53
Masters,Singapore,IELTS,7.3,0,0,0,0,7.03,2.7,3.9,0,6,1,0.48
Undergraduate,USA,PTE,0.0,0,84,0,0,8.36,3.5,3.6,1,10,1,0.75
Undergraduate,New Zealand,TOEFL,0.0,109,0,0,0,8.86,1.4,1.8,0,4,4,0.56
PhD,Sweden,DET,0.0,0,0,104,0,8.95,1.1,2.0,0,2,1,0.44
Undergraduate,Netherlands,DET,0.0,0,0,147,0,7.08,2.0,1.3,0,4,2,0.44
PhD,France,DET,0.0,0,0,132,0,8.93,3.4,3.7,0,8,1,0.59
PhD,Ireland,GRE,0.0,0,0,0,340,9.81,4.4,4.2,1,0,1,0.8
Undergraduate,Netherlands,DET,0.0,0,0,147,0,9.73,3.2,1.8,0,1,1,0.55
Masters,UK,TOEFL,0.0,93,0,0,0,8.97,4.0,3.1,0,7,4,0.61
Undergraduate,Switzerland,PTE,0.0,0,63,0,0,7.48,4.7,3.3,0,6,1,0.59
PhD,UK,PTE,0.0,0,63,0,0,7.08,2.5,4.6,1,6,3,0.72
